isrc,song_title,artist,spirit_songwriters,lum_us_streams_12mo,lum_us_ondemand_12mo,lum_radio_spins_12mo,lum_radio_audience_12mo,source_ok
QZWH32600272,Rest Of Your Life,Dahi,Ely Rise,227256,226561,0,0,yes
QMMEH2601092,Forget Me Not,Sicily Rose,"Bobby Hamrick,Shane Stevens",430741,428935,0,0,yes
QM6MZ2648883,King Of Coal Dust County,Adam Chaffins,Adam Chaffins,70772,59586,1242,443900,yes
CBEFB2602145,Say That You'll Be There,Loods,Melodie Wagner,129073,128078,0,0,yes
QZWFN2646389,World In You,Myya,Liz Lokre,1527,1527,0,0,yes
QZRD92608680,Shooting Memories With Tequila,Midland,Ryan Beaver,5560114,4678695,156,220200,yes
GBRKQ2600686,Crew,O.A.R.,Remy Gautreau,486368,442186,0,0,yes
GBPVV2500140,Palestine,KNEECAP,JJ Scheff,483682,481607,0,0,yes
QZTB42618405,It Gets Better,Sara Jean Kelley,David Ryan Harris,10415,10403,0,0,yes
QT5752500015,Man's World,Noelle Scaggs,Noelle Scaggs,266,266,0,0,yes
QT5752500019,Feel Your Body,Noelle Scaggs,Noelle Scaggs,274,274,0,0,yes
QT5752500025,Diamonds On The Floor,Noelle Scaggs,Noelle Scaggs,576,575,0,0,yes
QT5752500012,World Stop,Noelle Scaggs,Noelle Scaggs,239,239,0,0,yes
QT5752500009,Head To The Sky,Noelle Scaggs,Noelle Scaggs,748,748,0,0,yes
QT5752500022,Money Fame Love,Noelle Scaggs,"Bobby Hamrick,Brock Westover,Noelle Scaggs",838,838,0,0,yes
QT5752500004,The Ultimate,Noelle Scaggs,Noelle Scaggs,273,273,0,0,yes
QT5752500001,Bless The DJ,Noelle Scaggs,Noelle Scaggs,790,788,0,0,yes
QT5752500027,Get Loose,Noelle Scaggs,Noelle Scaggs,513,513,0,0,yes
QT2JK2500195,Evergreen Avenue,Izzy Escobar,Mira Housey,639792,630014,0,0,yes
USUG12601597,Waste A Day,Ernest,David Garcia,4176738,4072136,21,5800,yes
USUG12601592,What's A Little Rain,Ernest,David Garcia,9711597,9415316,124,259600,yes
NLF712601983,Like A Child,Armin Van Buuren,Melodie Wagner,1726057,935863,7175,1708600,yes
USUG12603162,Wrong With Me,Timmy McKeever,Cale Dodds,41746,39057,1,0,yes
USA2P2622923,Scarlet Witch,Musza,Autumn Rowe,1875,1839,0,0,yes
QZTB92614625,Sunkissed,Jake Clark,Mira Housey,38379,38364,0,0,yes
USLZJ2681758,Layup,Mira Housey,Mira Housey,23176,23053,0,0,yes
US5TA2600053,Rise High Rise,Xdinary Heroes,Ben Samama,384408,379778,0,0,yes
QZ5FN2651573,Pockets Full Of Sand,The Elovaters,"Justin Halpin,Cale Dodds",2534876,2106019,0,0,yes
QM4TW2672431,Kissing A Stranger,Brooke Lee,"Brooke Lee,Justin Richards",82681,80488,0,0,yes
QM4TW2672446,I Gotta Go,Brooke Lee,Brooke Lee,56994,46344,0,0,yes
USLZJ2656431,How's It Going For You?,Cale Dodds,Cale Dodds,51343,51118,0,0,yes
QM6MZ2662966,On The Loose,Luke Alexander,Melodie Wagner,175108,174527,0,0,yes
QZTB32616647,Only Devils,Connor McCutcheon,Connor McCutcheon,35349,35122,0,0,yes
QT82U2697780,No Loyalty,Harry T,Nick Gale,156145,156130,0,0,yes
USLZJ2652643,You Had Me At Howdy,Kylie Morgan,"Brock Westover,Jessica Cayne",77693,70527,0,0,yes
QMRSZ2600438,Break Me Down,Tim Montana,"Nathan Barlowe,Tim Montana",1121780,526396,20910,16552400,yes
CA5KR2640799,Daredevil,Zach Hood,Sawyer Utah,513936,503233,1,0,yes
QZRP42645021,Spose To Be,Chizzy Stephens,Chizzy,1608,1580,0,0,yes
KRA302600046,Million Miles Away,IRENE,Melodie Wagner,242610,239962,0,0,yes
QZNN22502366,Must Be,Tkay Maidza,Tkay Maidza,529362,529296,0,0,yes
QZEQU2600375,Giving Up On Us,Smithfield,Adam Wood,158241,158057,78,122000,yes
USUG12601542,Breathe,Marlon Hoffstadt,Ben Samama,908419,900312,183,7600,yes
QZK6K2606288,If I Go Missin',Tim & The Glory Boys,Cale Dodds,31521,29698,640,423600,yes
USUG12509599,Bird's Eye View,Flatland Calvalry,Ryan Beaver,1342617,1285592,2,1600,yes
ES75E2600483,7 Days A Week,Marc Tinez,Marc Tinez,65,65,0,0,yes
USLZJ2605283,Three Tinted Windows,O.A.R.,Remy Gautreau,593006,547868,0,0,yes
USLD91786253,Ways Away,Tyler Nance,Connor McCutcheon,2030604,1887163,7,29300,yes
QM4TW2672383,Just Because,Brooke Lee,"Brooke Lee,Justin Richards",158253,157830,1,200,yes
USUYG1796591,All For You,Josh Tatofi,Nick Autry,125138,111952,0,0,yes
QMGVJ2600071,Stand Still,Max McNown,Ryan Beaver,5172472,4958507,6,600,yes
QMRSZ2502424,Still Haven't Stopped,ATLUS,David Garcia,1216428,905800,2,3300,yes
QMRSZ2502427,Sounds Like Alcohol,ATLUS,"David Garcia,Justin Halpin",264617,216088,0,0,yes
AUWA02600032,Gentleman,Budjerah,Autumn Rowe,8062,8042,0,0,yes
